CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;8,116330;3,394060;88,489610;1;3;35;16;0
0;99,430210;0,569790;0,000000;2;2;29;1;0
0;68,880590;31,119410;0,000000;3;2;29;2;0
0;0,000000;2,458010;97,541990;4;1;13;16;0
0;0,000000;0,030520;99,969480;5;1;13;16;0
0;2,663580;0,000000;97,336420;6;4;43;16;0
0;0,000000;0,000000;100,000000;7;4;43;16;0
0;25,936580;0,000000;74,063420;8;4;43;9;0
0;0,000000;0,000000;100,000000;9;4;43;16;0
0;0,725420;1,034280;98,240300;10;4;43;16;0
0;48,700280;0,000000;51,299720;11;4;43;9;0
0;100,000000;0,000000;0,000000;12;4;43;1;0
0;100,000000;0,000000;0,000000;13;4;43;1;0
0;69,235340;0,000000;30,764660;14;4;43;4;0
0;82,255420;0,000000;17,744580;15;4;43;1;0
0;0,000000;0,000000;100,000000;16;4;43;16;0
0;0,000000;21,302350;78,697650;17;4;43;16;0
0;97,383610;0,000000;2,616390;18;4;43;1;0
0;100,000000;0,000000;0,000000;19;4;43;1;0
0;100,000000;0,000000;0,000000;20;4;43;1;0
0;0,000000;0,000000;100,000000;21;4;43;16;0
0;0,000000;26,526850;73,473150;22;4;43;14;0
0;0,000000;100,000000;0,000000;23;4;43;10;0
0;0,000000;100,000000;0,000000;24;4;43;10;0
0;100,000000;0,000000;0,000000;25;4;43;1;0
0;100,000000;0,000000;0,000000;26;4;43;1;0
0;0,000000;100,000000;0,000000;27;4;43;10;0
0;0,000000;81,751030;18,248970;28;4;43;10;0
0;0,000000;0,000000;100,000000;29;4;43;16;0
0;0,000000;0,000000;100,000000;30;4;43;16;0
0;12,945490;87,054510;0,000000;31;4;43;10;0
0;0,000000;100,000000;0,000000;32;4;43;10;0
0;0,000000;100,000000;0,000000;33;4;43;10;0
0;79,106710;0,000000;20,893290;34;4;43;1;0
0;100,000000;0,000000;0,000000;35;4;43;1;0
0;0,000000;100,000000;0,000000;36;4;43;10;0
0;0,000000;100,000000;0,000000;37;4;43;10;0
0;0,000000;0,142550;99,857450;38;4;43;16;0
